names,scores,logfoldchanges,pvals,pvals_adj
RPL27,4.210053,,2.5531084027710974e-05,0.005892084556367764
RPL6,4.2042956,,2.6189646668879245e-05,0.00598138937587299
RPL4,4.203576,,2.627309395231206e-05,0.00598138937587299
RPL35,4.1935005,,2.7468233922830544e-05,0.006148719951696437
RPL24,4.1827054,,2.8806030870093362e-05,0.006385463185111354
TMEM255B,4.1280107,,3.6591477939934234e-05,0.007954279081988026
MMRN1,4.10858,,3.9809950760747175e-05,0.008543671853073984
SERF2,4.0941863,,4.236531355608347e-05,0.009034537183282761
SAT1,4.0769143,,4.563725911720342e-05,0.009610636304344075
DKK3,4.071157,,4.678016779768343e-05,0.009790130271895315
PROCR,4.054605,,5.0219122787770614e-05,0.01044495755068607
DONSON,4.049567,,5.1312447698110876e-05,0.010606881059755508
TOMM7,4.0222197,,5.7652213535616885e-05,0.011844717578469973
S100A13,4.0186214,,5.8539624101172654e-05,0.011954146027060068
RPSA,4.0035086,,6.240996417595618e-05,0.012667718873160648
OST4,3.945935,,7.948914342472469e-05,0.015754748226780434
PRKCDBP,3.9301023,,8.490968418113518e-05,0.016586833181552657
APOD,3.9214664,,8.801171582160274e-05,0.017042912372948752
MGP,3.8948388,,9.826408444338788e-05,0.018705706560652603
COMMD6,3.8890815,,0.00010062436856375882,0.019047401541501627
EDN1,3.8710897,,0.00010834990230953795,0.020395204516299285
RPS5,3.844462,,0.00012081718888761116,0.022367111881204233
SLC25A6,3.818554,,0.0001342361959333624,0.02444840208529034
ARHGAP29,3.7530644,,0.0001746860242157579,0.03130782393577525
GLTSCR2,3.6818173,,0.00023157738925583423,0.04063941954992749
RP11-536O18.1,3.6264029,,0.00028739684415218705,0.04915507242062837
RPL23A,3.61129,,0.00030467789382961026,0.05132908477347444
RPS15,3.6062522,,0.0003106512334588235,0.051817240891889105
RPS27A,3.6004949,,0.0003176121085115888,0.05271735164625357
PIGS,3.5961769,,0.0003229282925970379,0.05333698966061076
BCAP31,3.5616329,,0.00036855556333183117,0.05999087512513391
TUBB6,3.556595,,0.00037569242940602935,0.06044422247293549
RPL10A,3.5558755,,0.000376722464513458,0.06044422247293549
SRPX,3.5515575,,0.0003829583185029261,0.06115354305041513
MDFI,3.5443609,,0.00039356623439196166,0.06225737418592843
CD38,3.5270889,,0.0004201558114068174,0.06554041624787642
SUB1,3.5026202,,0.000460705993840784,0.0715346901219879
IER3,3.501181,,0.0004632015016477068,0.07159225411246713
TAGLN2,3.4500844,,0.0005604112744436879,0.08582953400502553
TINAGL1,3.4306533,,0.0006021293995225387,0.09097824209646825
NDUFA7,3.4263353,,0.0006117844232252893,0.09202439444711115
DSTN,3.4212978,,0.000623230637329953,0.09332948041864639
CD93,3.3831553,,0.0007165807950475115,0.10543438125908669
RPL28,3.3788373,,0.0007279305576714648,0.10663866178340145
RPL35A,3.3737998,,0.0007413829264756204,0.10813920486869937
EIF3F,3.3716407,,0.0007472186077875958,0.10852061970170367
RPS9,3.368762,,0.0007550658864896106,0.10872303409991854
ARL6IP1,3.364444,,0.0007669803968083911,0.10996867017047629
MAPK3,3.3529294,,0.0007996111393846373,0.1136797372591813
ALDOA,3.2831216,,0.0010266435727477774,0.1441322022506817
EPHX1,3.2680087,,0.0010830706452549439,0.15017688198032955
RPL17,3.2680087,,0.0010830706452549439,0.15017688198032955
SRP14,3.2320254,,0.0012291618671207575,0.16973516373265082
LAYN,3.2248285,,0.001260481109810742,0.17264492078846808
UQCRH,3.2140336,,0.0013088436177065373,0.1785432261336197
CDC42EP5,3.2046778,,0.0013521369482673716,0.1829674792567101
PLPP1,3.189565,,0.001424871390546391,0.19175017695017638
GAPDH,3.1888452,,0.0014284232924109417,0.19175017695017638
STXBP6,3.1830878,,0.0014571337141014763,0.1948280292179966
ECHS1,3.155021,,0.0016048661926322033,0.213732654128654
ATP5E,3.1514225,,0.001624772500191689,0.2155318292183416
THEM6,3.1485438,,0.0016408608890164035,0.2168124188020341
C12orf57,3.1154392,,0.001836712174291418,0.23894277992500013
TSHZ2,3.1104016,,0.0018683318720795305,0.24027318357957136
GSTO1,3.0715394,,0.0021295799383315916,0.2707700620458288
SULF2,3.0333972,,0.0024181714185071484,0.29845372811421195
COX7A1,3.022602,,0.0025061150881656048,0.30594580355308654
S100A10,3.0190039,,0.002536073631798701,0.3081067238593606
SLPI,3.018284,,0.0025421045062296622,0.3081067238593606
MCFD2,2.9995728,,0.002703585317429294,0.3230305095229171
